,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23
1805723,0.4735225737094879,0.5317144393920898,0.515117347240448,0.5693755149841309,0.5280216336250305,0.4362201988697052,0.42350172996520996,0.4926965534687042,0.5373746156692505,0.47203055024147034,0.5021920204162598,0.5634087324142456,0.4054546356201172,0.5053964853286743,0.4472019374370575,0.4770697355270386,0.539229691028595,0.4826374650001526,0.44787225127220154,0.4354705810546875,0.4901641309261322,0.5262883901596069,0.4743365943431854
1805724,0.44738903641700745,0.5129485726356506,0.49917271733283997,0.588822603225708,0.5159711241722107,0.46212875843048096,0.4433348774909973,0.4760759770870209,0.5052656531333923,0.46482419967651367,0.5055116415023804,0.5429412126541138,0.38724854588508606,0.5097981691360474,0.4326903820037842,0.4661586582660675,0.5266002416610718,0.48897412419319153,0.4332351088523865,0.4117004871368408,0.46975839138031006,0.5309391617774963,0.4881143867969513
1839546,0.5624921321868896,0.5612745881080627,0.5514254570007324,0.5189597606658936,0.6314417719841003,0.5444820523262024,0.6233360767364502,0.3682280480861664,0.6500862240791321,0.6064332723617554,0.5174688100814819,0.5381953716278076,0.47248971462249756,0.4496808648109436,0.4787292778491974,0.5448768138885498,0.5793098211288452,0.4539901316165924,0.543216347694397,0.5054812431335449,0.5366383194923401,0.5664154887199402,0.5760621428489685
1878859,0.5356166362762451,0.49288636445999146,0.4546334743499756,0.44944941997528076,0.6132616400718689,0.5378722548484802,0.6315996646881104,0.5071536898612976,0.6494859457015991,0.6142852902412415,0.5431460738182068,0.46383288502693176,0.5178263187408447,0.4982209801673889,0.4748421013355255,0.5334802865982056,0.5723334550857544,0.4666880667209625,0.5524953603744507,0.4364476203918457,0.5351687073707581,0.5738446712493896,0.5430609583854675
1879041,0.5558530688285828,0.5113584995269775,0.4843387007713318,0.47981685400009155,0.6247793436050415,0.5344931483268738,0.6290639638900757,0.5506698489189148,0.6530149579048157,0.6039309501647949,0.5330812931060791,0.4904938340187073,0.49806296825408936,0.48953327536582947,0.4779069423675537,0.5135722160339355,0.565229594707489,0.45070961117744446,0.5847163796424866,0.46997353434562683,0.5362753868103027,0.5792892575263977,0.5386289358139038
1879042,0.5581037402153015,0.5133220553398132,0.5077075958251953,0.5069633722305298,0.6085802912712097,0.5668275952339172,0.657719612121582,0.39251184463500977,0.6693658828735352,0.5974832773208618,0.5750084519386292,0.48380300402641296,0.5450423359870911,0.5193372964859009,0.4517618715763092,0.5385526418685913,0.6096951365470886,0.48406991362571716,0.4310707151889801,0.4963640868663788,0.5564528107643127,0.5969892144203186,0.5991387963294983
2274194,0.3746737241744995,0.3588259220123291,0.42851999402046204,0.4088514745235443,0.24870404601097107,0.41834568977355957,0.29331257939338684,0.3584577441215515,0.3327951431274414,0.4395943582057953,0.5030319094657898,0.4078463315963745,0.33683475852012634,0.47006770968437195,0.45284172892570496,0.4247038960456848,0.41633591055870056,0.28963154554367065,0.38281065225601196,0.3734085261821747,0.4021080732345581,0.4405311346054077,0.33938130736351013
2526579,0.28433042764663696,0.258719801902771,0.2841752767562866,0.2814207673072815,0.2813242971897125,0.14849327504634857,0.2982879877090454,0.26099634170532227,0.2526741325855255,0.34697094559669495,0.24171866476535797,0.2457088977098465,0.24138809740543365,0.23540183901786804,0.4372887909412384,0.3074357211589813,0.2531197667121887,0.18147021532058716,0.2441219985485077,0.3212517201900482,0.22457170486450195,0.2343023717403412,0.23753777146339417
4104960,0.4751937985420227,0.53928142786026,0.47952547669410706,0.6151821613311768,0.4914938807487488,0.47416260838508606,0.626841127872467,0.4526469111442566,0.5641486048698425,0.6066727042198181,0.5622244477272034,0.5789873600006104,0.5394400358200073,0.4875451922416687,0.5580710768699646,0.5307993292808533,0.6567609310150146,0.5534865856170654,0.5381019115447998,0.48150017857551575,0.5530492067337036,0.49258777499198914,0.4497659504413605
4193576,0.512076735496521,0.5463247895240784,0.5653491616249084,0.6009315252304077,0.5905743837356567,0.4792075455188751,0.4540152847766876,0.5070393681526184,0.5268642902374268,0.6544023752212524,0.664355993270874,0.5860898494720459,0.540168821811676,0.5363695025444031,0.588095486164093,0.4864308834075928,0.6340430974960327,0.5437785387039185,0.5687320828437805,0.5241237878799438,0.6286174654960632,0.46889668703079224,0.6339799761772156
4193758,0.47432059049606323,0.5273265838623047,0.5438459515571594,0.5989944338798523,0.5866562724113464,0.4827977120876312,0.41425463557243347,0.5111120939254761,0.5132569670677185,0.6158189177513123,0.6342723965644836,0.5985434055328369,0.5249208807945251,0.49873554706573486,0.6093214750289917,0.4810965955257416,0.6337378025054932,0.5405277013778687,0.5883245468139648,0.5336456894874573,0.6624982357025146,0.48875701427459717,0.6244487166404724
4193759,0.4672371745109558,0.5396038889884949,0.5339024066925049,0.5705039501190186,0.5764820575714111,0.45605039596557617,0.4397178292274475,0.4939994812011719,0.4781474173069,0.5918776392936707,0.6202049851417542,0.5934521555900574,0.5009790658950806,0.49493181705474854,0.6347017884254456,0.46403586864471436,0.59332674741745,0.5351507067680359,0.5556864738464355,0.5004658102989197,0.6470955014228821,0.468275249004364,0.5957349538803101
4615448,0.43145108222961426,0.4752832353115082,0.4007011950016022,0.4612730145454407,0.4753389358520508,0.49120670557022095,0.4680674076080322,0.4164680242538452,0.40723687410354614,0.45249664783477783,0.4979545474052429,0.4196009635925293,0.4760924279689789,0.47979703545570374,0.5371021032333374,0.49105700850486755,0.4811428487300873,0.42506980895996094,0.47222355008125305,0.3927289545536041,0.38164186477661133,0.46808522939682007,0.43040233850479126
4696275,0.393869549036026,0.3394118547439575,0.40375834703445435,0.4775959551334381,0.42226293683052063,0.43609920144081116,0.31471556425094604,0.29491204023361206,0.3067931532859802,0.2580184042453766,0.40762776136398315,0.2961350977420807,0.2960631847381592,0.41403836011886597,0.5786008238792419,0.2921452224254608,0.3925611078739166,0.3253585398197174,0.43383362889289856,0.5100699663162231,0.3155122399330139,0.4546021819114685,0.38173067569732666
